id,name
1,Adarsh Nagar
2,AIIMS
3,Akshardham
4,Anand Vihar
5,Arjan Garh
6,Arthala
7,Ashok Park Main
8,Ashram
9,Azadpur
10,Badarpur Border
11,Badkal Mor
12,Bahadurgarh City
13,Barakhamba Road
14,Bata Chowk
15,Bhikaji Cama Place
16,Botanical Garden
17,Brigadier Hoshiyar Singh
18,Central Secretariat
19,Chandni Chowk
20,Chawri Bazar
21,Chhatarpur
22,Chirag Delhi
23,Civil Lines
24,Dabri Mor - Janakpuri South
25,Dashrath Puri
26,Delhi Aerocity
27,Delhi Cantonment
28,Delhi Gate
29,Dhansa Bus Stand
30,Dhaula Kuan
31,Dilli Haat - INA
32,Dilshad Garden
33,Durgabai Deshmukh South Campus
34,Dwarka
35,Dwarka Mor
36,Dwarka Sector 8
37,Dwarka Sector 9
38,Dwarka Sector 10
39,Dwarka Sector 11
40,Dwarka Sector 12
41,Dwarka Sector 13
42,Dwarka Sector 14
43,Dwarka Sector 21
44,East Azad Nagar
45,East Vinod Nagar - Mayur Vihar-II
46,Escorts Mujesar
47,ESI - Basaidarapur
48,Ghevra
49,Ghitorni
50,Gokulpuri
51,Golf Course
52,Govindpuri
53,Greater Kailash
54,Green Park
55,GTB Nagar
56,Guru Dronacharya
57,Haiderpur Badli Mor
58,Harkesh Nagar Okhla
59,Hauz Khas
60,Hindon River
61,HUDA City Centre
62,IFFCO Chowk
63,IIT Delhi
64,Inderlok
65,Indira Gandhi International Airport
66,Indraprastha
67,IP Extension
68,ITO
69,Jaffrabad
70,Jahangirpuri
71,Jama Masjid
72,Jamia Millia Islamia
73,Janakpuri East
74,Janakpuri West
75,Jangpura
76,Janpath
77,Jasola Apollo
78,Jasola Vihar Shaheen Bagh
79,Jawaharlal Nehru Stadium
80,Jhandewalan
81,Jhilmil
82,Johri Enclave
83,Jor Bagh
84,Kailash Colony
85,Kalindi Kunj
86,Kalkaji Mandir
87,Kanhaiya Nagar
88,Karkarduma
89,Karkarduma Court
90,Karol Bagh
91,Kashmere Gate
92,Kaushambi
93,Keshav Puram
94,Khan Market
95,Kirti Nagar
96,Krishna Nagar
97,Kohat Enclave
98,Krishna Park Extension
99,Lajpat Nagar
100,Lal Qila
101,Laxmi Nagar
102,Lok Kalyan Marg
103,Madipur
104,Maharaja Surajmal Stadium
105,Majlis Park
106,Major Mohit Sharma Rajendra Nagar
107,Malviya Nagar
108,Mandawali - West Vinod Nagar
109,Mandi House
110,Mansarovar Park
111,Maujpur - Babarpur
112,Mayapuri
113,Mayur Vihar-I
114,Mayur Vihar Extension
115,Mayur Vihar Pocket I
116,Mewla Maharajpur
117,MG Road
118,Model Town
119,Mohan Estate
120,Mohan Nagar
121,Moolchand
122,Moti Nagar
123,Mundka
124,Mundka Industrial Area
125,Munirka
126,Najafgarh
127,Nangli
128,Nangloi
129,Nangloi Railway Station
130,Naraina Vihar
131,Nawada
132,Neelam Chowk Ajronda
133,Nehru Enclave
134,Nehru Place
135,Netaji Subhash Place
136,New Ashok Nagar
137,New Delhi
138,NHPC Chowk
139,Nirman Vihar
140,Noida City Centre
141,Noida Electronic City
142,Noida Sector 15
143,Noida Sector 16
144,Noida Sector 18
145,Noida Sector 34
146,Noida Sector 52
147,Noida Sector 59
148,Noida Sector 61
149,Noida Sector 62
150,Okhla Bird Sanctuary
151,Okhla NSIC
152,Okhla Vihar
153,Old Faridabad
154,Palam
155,Panchsheel Park
156,Pandit Shree Ram Sharma
157,Paschim Vihar East
158,Paschim Vihar West
159,Patel Chowk
160,Patel Nagar
161,Peeragarhi
162,Pitampura
163,Pratap Nagar
164,Preet Vihar
165,Pul Bangash
166,Punjabi Bagh
167,Punjabi Bagh West
168,Qutab Minar
169,R. K. Puram
170,Raja Nahar Singh
171,Raj Bagh
172,Rajdhani Park
173,Rajendra Place
174,Rajiv Chowk
175,Rajouri Garden
176,Ramakrishna Ashram Marg
177,Ramesh Nagar
178,Rithala
179,Rohini East
180,"Rohini Sector 18, 19"
181,Rohini West
182,Sadar Bazaar Cantonment
183,Saket
184,Samaypur Badli
185,Sant Surdas (Sihi)
186,Sarai
187,Sarai Kale Khan - Nizamuddin
188,Sarita Vihar
189,Sarojini Nagar
190,Satguru Ram Singh Marg
191,Sector 28
192,Seelampur
193,Shadipur
194,Shahdara
195,Shaheed Nagar
196,Shaheed Sthal
197,Shakurpur
198,Shalimar Bagh
199,Shankar Vihar
200,Shastri Nagar
201,Shastri Park
202,Shiv Vihar
203,Shivaji Park
204,Shivaji Stadium
205,Shyam Park
206,Sikanderpur
207,Sir M. Vishweshwaraiah Moti Bagh
208,South Extension
209,Subhash Nagar
210,Sukhdev Vihar
211,Sultanpur
212,Supreme Court
213,Tagore Garden
214,Terminal 1-IGI Airport
215,Tikri Border
216,Tikri Kalan
217,Tilak Nagar
218,Tis Hazari
219,Trilokpuri Sanjay Lake
220,Tughlakabad Station
221,Udyog Bhawan
222,Udyog Nagar
223,Uttam Nagar East
224,Uttam Nagar West
225,Vaishali
226,Vasant Vihar
227,Vidhan Sabha
228,Vinobapuri
229,Vishwa Vidyalaya
230,Welcome
231,Yamuna Bank
232,Yashobhoomi Dwarka Sector - 25
